keys,en,ro
MENU_WELCOME,Welcome!,Bun venit!
MENU_LOGIN,Log in,Conectare
MENU_REGISTER,Register,Înregistrare
MENU_SERVER_CONFIGURATION,Server configuration,Configurare server
MENU_ABOUT,About,Despre
MENU_QUIT,Quit,Ieșire
AUTH_LOGIN_TITLE,Log in,Intrare în cont
AUTH_REGISTER_TITLE,Create an account,Creare cont
AUTH_EMAIL,Email,Email
AUTH_PASSWORD,Password,Parolă
AUTH_USERNAME,Username,Nume utilizator
AUTH_LOGIN,Log in,Conectare
AUTH_REGISTER,Register,Înregistrare
AUTH_LOGIN_REQUIRED,Enter your email and password.,Completează email și parolă.
AUTH_REGISTER_REQUIRED,"Enter a username, email, and password.","Completează username, email și parolă."
AUTH_LOGGING_IN,Logging in...,Autentificare...
AUTH_REGISTERING,Creating account...,Se creează contul...
AUTH_REGISTER_SUCCESS,Account created successfully. You can now log in.,Cont creat cu succes. Te poți autentifica.
AUTH_REGISTER_SUCCESS_BACK,Account created successfully. Press Back and log in.,Cont creat cu succes. Apasă Înapoi și autentifică-te.
AUTH_LOGIN_SUCCESS,"Login successful. Welcome, {username}!","Login reușit. Bun venit, {username}!"
AUTH_WEBSOCKET_VALIDATING,WebSocket connected. Validating session...,WebSocket conectat. Se validează sesiunea...
AUTH_UNKNOWN_ERROR,An unknown error occurred.,Eroare necunoscută.
AUTH_USERNAME_TOO_SHORT,"Username must be at least {min} characters long.","Username-ul trebuie să aibă cel puțin {min} caractere."
AUTH_USERNAME_TOO_LONG,"Username cannot exceed {max} characters.","Username-ul nu poate depăși {max} caractere."
AUTH_INVALID_EMAIL,Enter a valid email address.,Introdu o adresă de email validă.
AUTH_PASSWORD_TOO_SHORT,"Password must be at least {min} characters long.","Parola trebuie să aibă cel puțin {min} caractere."
AUTH_INVALID_INPUT,The submitted data is invalid.,Datele introduse nu sunt valide.
AUTH_IDENTITY_ALREADY_EXISTS,This username or email address is already in use.,Username-ul sau adresa de email este deja folosită.
AUTH_INVALID_CREDENTIALS,Incorrect email or password.,Email sau parolă incorectă.
AUTH_REGISTRATION_FAILED,Could not complete registration. Please try again.,Nu s-a putut finaliza înregistrarea. Încearcă din nou.
COMMON_BACK,Back,Înapoi
SERVER_TITLE,Server configuration,Configurare server
SERVER_CURRENT,Current server: {host},Server curent: {host}
SERVER_ADDRESS_PLACEHOLDER,Example: 192.168.1.144,Exemplu: 192.168.1.144
SERVER_TEST_AND_SAVE,Test and save,Verifică și salvează
SERVER_INVALID_ADDRESS,Enter a valid IPv4 address or leave the field empty for localhost.,Introdu o adresă IPv4 validă sau lasă câmpul gol pentru localhost.
SERVER_TESTING,Testing {url}...,Se verifică {url}...
SERVER_CONNECT_SUCCESS,Connection successful. The server address has been saved.,Conexiune reușită. Adresa serverului a fost salvată.
SERVER_DESCRIPTION,Enter the IPv4 address of the server.\nLeave empty for localhost.,Introdu adresa IPv4 a server-ului.\nLasă liber pentru localhost.
SERVER_REQUEST_ERROR,Server testing could not begin.,Nu s-a putut inițializa verificarea serverului.
SERVER_REQUEST_FAILED,"The server could not be reached. Check the address, the network and the firewall.","Serverul nu a putut fi contactat. Verifică adresa, rețeaua și firewall-ul."
SERVER_RESPONSE,Server answered with HTTP status {status}.,Serverul a răspuns cu status HTTP {status}.
SERVER_NOT_NO_GO_INFLATION,"The address responds, but it does not seem to be a No go Inflation server.","Adresa răspunde, dar nu pare să fie un server No-go Inflation."
SERVER_SAVE_ERROR,"The server is available, but the address could not be saved.","Serverul este disponibil, dar adresa nu a putut fi salvată."
ABOUT_TITLE,About,Despre
